location_id,indicator_id,year,value,rep_meth,ingested_at,flags,source_file,source_col
1,582,2017,0.0,not_reported,2025-12-15 21:02:16.410327,,tb_outcomes.csv,new_sp_coh
1,582,2018,0.0,not_reported,2025-12-15 21:02:16.410358,,tb_outcomes.csv,new_sp_coh
1,582,2019,0.0,not_reported,2025-12-15 21:02:16.410393,,tb_outcomes.csv,new_sp_coh
1,582,2020,0.0,not_reported,2025-12-15 21:02:16.410423,,tb_outcomes.csv,new_sp_coh
1,582,2021,0.0,not_reported,2025-12-15 21:02:16.410454,,tb_outcomes.csv,new_sp_coh
1,582,2022,0.0,not_reported,2025-12-15 21:02:16.410485,,tb_outcomes.csv,new_sp_coh
1,582,2023,0.0,not_reported,2025-12-15 21:02:16.410516,,tb_outcomes.csv,new_sp_coh
2,582,1994,7253.0,100.0,2025-12-15 21:02:16.410546,,tb_outcomes.csv,new_sp_coh
2,582,1995,0.0,not_reported,2025-12-15 21:02:16.410576,,tb_outcomes.csv,new_sp_coh
2,582,1996,6860.0,100.0,2025-12-15 21:02:16.410607,,tb_outcomes.csv,new_sp_coh
2,582,1997,6860.0,100.0,2025-12-15 21:02:16.410658,,tb_outcomes.csv,new_sp_coh
2,582,1998,2490.0,100.0,2025-12-15 21:02:16.410688,,tb_outcomes.csv,new_sp_coh
2,582,1999,7622.0,100.0,2025-12-15 21:02:16.410720,,tb_outcomes.csv,new_sp_coh
2,582,2000,8328.0,100.0,2025-12-15 21:02:16.410750,,tb_outcomes.csv,new_sp_coh
2,582,2001,8361.0,100.0,2025-12-15 21:02:16.410780,,tb_outcomes.csv,new_sp_coh
2,582,2002,9200.0,100.0,2025-12-15 21:02:16.410810,,tb_outcomes.csv,new_sp_coh
2,582,2003,8521.0,100.0,2025-12-15 21:02:16.410840,,tb_outcomes.csv,new_sp_coh
2,582,2004,8405.0,100.0,2025-12-15 21:02:16.410870,,tb_outcomes.csv,new_sp_coh
2,582,2005,8379.0,100.0,2025-12-15 21:02:16.410900,,tb_outcomes.csv,new_sp_coh
2,582,2006,8285.0,100.0,2025-12-15 21:02:16.410933,,tb_outcomes.csv,new_sp_coh
2,582,2007,8510.0,100.0,2025-12-15 21:02:16.410964,,tb_outcomes.csv,new_sp_coh
2,582,2008,8190.0,102.0,2025-12-15 21:02:16.410994,,tb_outcomes.csv,new_sp_coh
2,582,2009,8438.0,not_reported,2025-12-15 21:02:16.411024,,tb_outcomes.csv,new_sp_coh
2,582,2010,7894.0,102.0,2025-12-15 21:02:16.411054,,tb_outcomes.csv,new_sp_coh
2,582,2011,7364.0,102.0,2025-12-15 21:02:16.411086,,tb_outcomes.csv,new_sp_coh
2,582,2012,0.0,not_reported,2025-12-15 21:02:16.411115,,tb_outcomes.csv,new_sp_coh
2,582,2013,0.0,not_reported,2025-12-15 21:02:16.411145,,tb_outcomes.csv,new_sp_coh
2,582,2014,0.0,not_reported,2025-12-15 21:02:16.411176,,tb_outcomes.csv,new_sp_coh
2,582,2015,0.0,not_reported,2025-12-15 21:02:16.411206,,tb_outcomes.csv,new_sp_coh
2,582,2016,0.0,not_reported,2025-12-15 21:02:16.411236,,tb_outcomes.csv,new_sp_coh
2,582,2017,0.0,not_reported,2025-12-15 21:02:16.411266,,tb_outcomes.csv,new_sp_coh
2,582,2018,0.0,not_reported,2025-12-15 21:02:16.411296,,tb_outcomes.csv,new_sp_coh
2,582,2019,0.0,not_reported,2025-12-15 21:02:16.411326,,tb_outcomes.csv,new_sp_coh
2,582,2020,0.0,not_reported,2025-12-15 21:02:16.411355,,tb_outcomes.csv,new_sp_coh
2,582,2021,0.0,not_reported,2025-12-15 21:02:16.411386,,tb_outcomes.csv,new_sp_coh
2,582,2022,0.0,not_reported,2025-12-15 21:02:16.411467,,tb_outcomes.csv,new_sp_coh
2,582,2023,0.0,not_reported,2025-12-15 21:02:16.411544,,tb_outcomes.csv,new_sp_coh
3,582,1994,0.0,not_reported,2025-12-15 21:02:16.411592,,tb_outcomes.csv,new_sp_coh
